Phi,d50,sigma,Emix,Temp,Tau0
0.4689,9.3829,1.4183,8171638.288,27.9048,13.6802
0.478,9.0743,1.4311,7394377.8698,28.6186,19.5164
0.4795,11.091,1.4216,1368629.6073,27.2934,14.7737
0.4794,7.8556,1.5295,1447135.3216,27.2076,15.8462
0.4774,7.6241,1.4589,1554970.5467,25.8018,21.4115
0.481,10.3281,1.4422,1245487.2807,26.4421,15.1765
0.4739,7.6754,1.5549,7205511.6612,28.3243,10.9829
0.4885,7.8536,1.4058,1469869.9877,25.2805,36.6985
0.4869,9.6558,1.4715,1422362.1197,26.0418,17.6316
0.4641,8.6224,1.4304,8346962.798,29.3913,14.0068
0.4663,7.2574,1.54,8191225.1975,29.6889,10.6185
0.4626,8.5591,1.4322,1360179.6541,26.9843,12.783
0.4729,7.2518,1.4316,7982036.8488,28.0231,24.5875
0.4745,8.2149,1.4425,1235357.1933,26.1139,18.7495
0.4659,7.2158,1.505,7560984.5453,29.5008,13.5546
0.4734,9.9231,1.4054,1383165.1665,25.7356,14.6798
0.4626,8.6493,1.4149,7650599.1092,28.1447,13.5502
0.4658,7.9841,1.4031,6883781.872,28.6254,19.7275
0.4671,7.6253,1.4533,7779008.9405,29.6008,17.7363
0.4672,8.1365,1.4265,7941678.0084,28.8557,17.4571
0.4772,7.5719,1.5625,1339082.6899,27.5786,12.8694
0.4775,7.6083,1.5022,1360948.0205,27.9054,19.4573
0.4819,7.2039,1.488,1332886.493,27.614,27.1495
0.4797,7.6644,1.5847,7518543.1047,29.7153,12.3513
0.4705,9.7641,1.4276,7608393.5432,29.4247,14.032
0.461,9.8206,1.4067,8283606.8158,27.6861,10.0154
0.4695,7.1978,1.5049,1418326.9171,25.2416,13.0116
0.4755,9.1045,1.4649,1374103.5898,26.0097,13.8036
0.4672,8.4157,1.4457,1486701.1557,27.4858,14.8732
0.4667,7.3249,1.4687,1266184.1145,27.817,17.1626
0.473,9.0798,1.4685,1390863.066,26.3958,12.8054
0.4677,8.0053,1.4468,7311304.0966,27.5053,15.1342
0.4583,7.3124,1.4889,7469634.2433,28.8725,10.4607
0.4786,7.7685,1.4864,7669869.3431,29.7465,21.4573
0.4786,7.0338,1.6162,7779931.4878,29.9874,11.1663
0.4647,8.958,1.4344,1371900.6303,27.6531,12.9902
0.4797,12.0275,1.4549,7843426.6835,29.1765,10.644
0.4527,7.7185,1.4389,7575104.1382,29.2135,10.8593
0.4776,11.8892,1.4325,7838218.0367,29.8363,11.867
0.4787,8.7302,1.5258,7705455.4638,27.9833,12.1151
0.4566,7.1295,1.481,7085888.1551,28.7555,10.8407
0.4821,8.9359,1.4085,1553485.3869,26.1437,24.2834
0.4638,9.6974,1.4186,8168926.7723,27.4995,10.446
0.4529,8.85,1.4165,7532776.2093,29.9537,10.0983
0.4765,10.9988,1.4202,1472560.1473,26.152,12.6335
0.4781,7.9929,1.4932,7299134.9947,28.5857,17.9484
0.4747,8.466,1.456,7771654.7102,29.6416,18.5325
0.4768,11.6972,1.4458,7087949.1855,29.447,11.0486
0.4791,11.9029,1.4124,1473767.9318,26.9557,12.9472
0.4705,10.2324,1.4015,1443783.717,27.7244,14.7063
0.4788,8.1051,1.4493,1501074.8898,27.6772,23.9277
0.4786,7.4058,1.547,7776878.7795,28.0472,14.6911
0.4795,10.1139,1.4126,8422429.0696,28.9807,18.1931
0.4701,11.5657,1.4063,8123129.5731,28.1898,10.1715
0.4788,9.1173,1.5364,7248076.636,28.2025,10.6419
0.4864,7.4738,1.4784,1507490.1703,25.9154,27.588
0.4753,9.3488,1.4327,1471353.2992,26.4749,16.0591
0.472,9.3433,1.4656,7501276.8438,29.3768,12.9818
0.4714,7.453,1.4928,7721134.7692,29.4529,16.939
0.4547,7.0868,1.421,1404521.7538,27.5901,15.5768
0.458,7.5562,1.4263,1377089.0207,25.8368,13.2396
0.4745,10.5431,1.428,1319190.037,27.1404,13.2354
0.4717,8.8327,1.441,8033382.7786,27.4868,14.5747
0.4735,8.9618,1.5089,8124999.1664,29.4838,11.4376
0.4745,8.2347,1.5284,7465989.9567,27.0601,10.7314
0.479,7.8659,1.4003,1358564.0559,25.5598,28.423
0.4589,7.1897,1.411,1381658.9958,27.3831,18.5224
0.4854,12.6524,1.4005,1471930.1173,25.9781,13.8629
0.463,7.3017,1.5041,7224208.627,29.3839,11.8114
0.4718,7.2625,1.4508,7781763.5344,28.3095,21.6741
0.4623,7.1879,1.4535,1508872.4205,27.7945,16.545
0.4831,7.1224,1.5538,1459095.1199,27.5467,19.5096
0.4854,9.1145,1.4159,1391926.6313,26.2206,25.2767
0.4754,11.0811,1.4018,7860649.7022,29.1824,14.333
0.4748,7.9565,1.4034,1314926.2762,26.4055,25.448
0.4723,9.3396,1.4229,1349206.7226,25.599,14.4171
0.4792,8.1455,1.46,1345982.6265,27.7557,22.8246
0.4864,8.4581,1.5251,1364009.4601,25.9468,16.699
0.4758,7.9272,1.4752,1396917.5814,25.6731,16.9263
0.4735,7.1286,1.4034,1389230.639,27.7561,33.2352
0.485,8.8528,1.4998,1360427.5544,27.5989,18.8319
0.4816,7.1169,1.5966,1394987.1766,27.7283,13.9321
0.4773,7.0218,1.5117,7947391.4055,28.1548,19.5189
0.4541,7.3206,1.459,7691202.3223,27.6499,10.0201
0.4697,7.3385,1.4973,8066687.1146,27.9639,14.4554
0.4671,8.091,1.4036,1414958.7899,26.4533,19.0367
0.4777,8.9921,1.5089,1383581.8611,27.3743,13.0409
0.4652,10.4191,1.4081,7503553.6838,29.623,11.6359
0.4705,7.2658,1.4052,7451143.695,29.8467,29.311
0.4784,9.0921,1.4506,1349828.6756,26.8853,17.6855
0.4694,7.0436,1.4037,7873175.7102,29.2148,29.0934
0.467,8.7418,1.4469,7636919.6467,29.0102,13.5222
0.4815,7.4058,1.547,1467840.1592,25.0426,14.7604
0.4797,7.9174,1.4561,7627184.4661,29.202,24.5635
0.4726,11.9029,1.4124,7568118.1113,29.147,10.7859
0.4816,11.5743,1.4396,1419546.3438,25.288,11.4334
0.4792,12.3339,1.4332,7826421.8761,29.6229,11.4517
0.4713,8.0212,1.5267,7766723.2547,28.3644,10.9307
0.4817,8.0709,1.4148,1296293.9229,26.4804,29.3574
0.4744,9.6821,1.4252,7308550.0409,27.3821,14.5195
0.4768,8.5289,1.4647,1353930.9368,25.0323,15.3157
0.4595,7.7805,1.4448,8019880.1638,29.571,13.5222
0.4644,9.5806,1.4067,7699530.6652,27.9237,12.113
0.4721,7.3325,1.4447,1382724.1254,26.9804,22.6821
0.4827,8.621,1.5239,1444155.0966,25.8228,13.9848
0.4524,7.3311,1.4016,7210232.4153,28.656,14.8051
0.4699,9.5491,1.4663,7189263.7834,28.6462,11.0189
0.4678,7.4973,1.4423,1373130.5734,25.4001,16.8897
0.4855,8.2821,1.5443,1395579.324,27.2446,16.4606
0.4786,8.5896,1.5022,8219324.6324,28.9626,15.1574
0.4821,8.7098,1.5339,1610576.1598,27.7322,14.3282
0.4667,8.6224,1.4304,1400143.9571,25.9184,13.6429
0.4755,9.2249,1.4731,8316805.1363,29.2056,14.0895
0.465,9.1195,1.4191,7881559.9402,28.3796,13.0522
0.4622,7.3249,1.4687,7611430.4533,27.4088,12.7486
0.4786,8.6659,1.4275,1406689.4239,27.8414,23.6327
0.4735,7.6083,1.5022,7178917.1537,29.879,17.1367
0.4845,9.3578,1.4861,1404548.7549,25.5508,15.4188
0.4741,10.6316,1.4392,1319104.9316,26.1221,11.241
0.479,12.0277,1.4042,1375805.029,26.1027,12.4103
0.4653,7.7581,1.471,1227387.103,26.6619,13.2344
0.4691,8.159,1.4696,1335139.3532,26.1948,13.4306
0.4721,7.6279,1.4283,1455870.6278,27.8615,24.3792
0.4806,9.2406,1.4121,1459131.4695,26.6464,22.1134
0.4729,8.0059,1.4251,1465861.8911,26.3773,20.9359
0.4604,8.1576,1.419,1379423.9742,25.4108,12.5776
0.4748,7.4551,1.5046,7002432.3372,27.2268,15.7118
0.4721,7.0421,1.429,1388588.5566,25.0512,23.294
0.4696,8.7554,1.434,1298260.0001,27.5218,16.1026
0.4764,7.4975,1.4236,1465444.8694,27.6459,29.459
0.4717,8.6616,1.4166,1445277.6053,26.2242,17.793
0.4528,7.8134,1.4027,7700525.1001,28.8179,13.1618
0.4661,10.8699,1.4161,7878782.5204,29.7626,10.5619
0.4757,8.7035,1.4357,1445807.73,27.8122,20.2411
0.4667,10.1651,1.4553,7421316.1372,29.9986,10.0254
0.4785,7.4301,1.5467,6766573.102,29.5395,16.2349
0.4829,8.5527,1.4531,1411508.5207,26.6396,22.5512
0.4777,7.5019,1.5858,7976232.9069,29.6512,11.6132
0.4711,7.7933,1.4173,1440718.6678,26.2846,21.5428
0.4815,8.5933,1.5218,1510114.7975,27.2928,15.0778
0.4694,8.0965,1.4964,7674974.3596,29.4607,13.027
0.4788,7.0733,1.478,1336639.5022,27.8612,27.1709
0.4732,7.1431,1.4399,8305203.323,29.5999,26.7651
0.4817,7.6259,1.5746,1371410.9028,26.7556,13.3355
0.477,9.7885,1.4005,1390522.8551,27.9893,20.3391
0.4695,7.8625,1.461,8268720.5846,27.5433,15.1991
0.4666,7.3124,1.4889,1242796.8081,25.9612,13.2445
0.4691,9.5885,1.4615,8414401.307,29.9438,11.592
0.4825,8.4759,1.5313,1397107.0882,27.8241,15.775
0.4687,8.9407,1.4202,1286242.8539,25.3124,13.8
0.46,8.5555,1.4398,6900587.1901,28.8107,11.4256
0.4781,10.4362,1.4438,7814208.3761,29.4291,14.4426
0.469,9.7829,1.4528,7045812.5095,27.7703,10.461
0.479,9.3101,1.4021,1446716.7718,27.9707,23.7352
0.4777,7.2687,1.4579,7509234.3603,28.2567,25.4987
0.4628,7.3891,1.4237,7394371.8592,29.9865,19.9137
0.478,8.7713,1.4548,1498493.5245,26.0223,17.1494
0.4747,8.7713,1.4548,8011237.7619,28.2946,15.9901
0.4679,8.3054,1.4462,7817442.7696,27.2838,13.8694
0.473,7.8871,1.4422,8256338.6985,28.0404,19.6019
0.463,8.1543,1.4412,7353235.8338,29.8889,14.757
0.4641,7.7348,1.4746,1413374.7949,27.2629,12.8821
0.4762,9.8458,1.4209,1386341.7834,25.7578,15.1138
0.4711,10.0462,1.4279,1406969.5824,27.413,13.2491
0.4536,7.2682,1.4102,1373462.8951,25.8399,13.4749
0.4769,9.7732,1.4796,7597832.134,27.8312,11.8129
0.4539,7.2829,1.4114,7709550.767,28.1453,14.2941
0.4678,10.5431,1.428,8161412.3192,28.8672,10.4932
0.4745,7.5685,1.5423,8471755.3816,27.841,12.056
0.4769,8.904,1.4701,1487919.859,25.1741,13.772
0.4785,8.6812,1.4438,7716068.3142,28.0772,19.5002
0.4569,8.3831,1.4071,7123134.5921,27.2126,11.7158
0.4867,9.2257,1.5245,1453109.7592,26.3375,14.6544
0.4845,11.7395,1.4557,1380132.5943,27.8381,13.534
0.4613,7.7195,1.4406,7412097.7461,28.516,14.2743
0.4749,8.018,1.4588,7767506.8833,27.1507,17.5229
0.4827,11.394,1.4402,1324494.1476,26.9394,13.8024
0.475,8.9548,1.4737,7610113.9057,27.9777,13.7263
0.4658,8.7554,1.434,8122794.8373,28.7647,13.6232
0.4631,7.6232,1.4341,1336521.7242,26.5778,15.77
0.4888,9.0568,1.4297,1268605.5228,27.0227,28.3212
0.4671,7.891,1.4034,7853331.0042,28.7091,20.8436
0.4713,9.8402,1.4357,7266621.2458,28.0595,12.5471
